Mechanical properties of patented and cold-drawn steel wires ,,,,,Refer Table 10.1 on page 402
Wire diameter d (mm) ,Minimum tensile strength (N/mm2),,,,
,Gr.1,Gr.2,Gr.3,Gr.4,
0.3,1720,2060,2460,2660,
0.4,1700,2040,2430,2620,
0.5,1670,2010,2390,2580,
0.6,1650,1990,2360,2550,
0.7,1630,1970,2320,2530,
0.8,1610,1950,2280,2480,
0.9,1590,1920,2250,2440,
1,1570,1900,2240,2400,
1.2,1540,1860,2170,2340,
1.4,1500,1820,2090,2290,
1.6,1470,1780,2080,2250,
1.8,1440,1750,2030,2190,
2,1420,1720,1990,2160,
2.5,1370,1640,1890,2050,
3,1320,1570,1830,1980,
3.6,1270,1510,1750,1890,
4,1250,1480,1700,1840,
4.5,1230,1440,1660,1800,
5,1190,1390,1600,1750,
6,1130,1320,1530,1670,
7,1090,1260,1460,1610,
8,1050,1220,1400,1540,
